CI,timestamp
0.8625,0
0.8875,0
0.425,0
0.016666667,0
0.975,0
0.675,0
0.266666667,0
0.95,0
0.175,0
0.875,0
0.65,0
0,0
0.2125,0
0.35,0
0.766666667,0
0.55,0
0.583333333,0
0.775,0
0.3125,0
0.9,0
0.1,0
0.225,0
0.216666667,0
0.883333333,0
0.75,0
0.7875,0
0.4375,0
0.091666667,0
0.125,0
0.275,0
0.716666667,0
0.0875,0
0.7,0
0.083333333,0
0.925,0
0.4125,0
0.8375,0
0.333333333,0
0.5875,0
0.6125,0
0.991666667,0
0.3875,0
0.375,0
0.85,0
0.2875,0
0.683333333,0
0.983333333,0
0.6,0
0.033333333,0
0.075,0
0.6625,0
0.533333333,0
0.283333333,0
0.366666667,0
0.5625,0
0.5,0
0.7375,0
0.1375,0
0.3625,0
0.525,0
0.025,0
0.4875,0
0.2375,0
0.15,0
0.9375,0
0.1625,0
0.4625,0
0.908333333,0
0.733333333,0
0.783333333,0
0.791666667,0
0.4,0
0.808333333,0
0.05,0
0.575,0
0.116666667,0
0.0625,0
0.825,0
0.1875,0
0.166666667,0
0.9875,0
0.325,0
0.133333333,0
0.933333333,0
0.9125,0
0.6375,0
0.25,0
0.416666667,0
0.7625,0
0.233333333,0
0.8,0
0.3,0
0.45,0
0.408333333,0
0.6875,0
0.491666667,0
0.566666667,0
0.208333333,0
0.475,0
0.433333333,0
0.5125,0
0.616666667,0
0.516666667,0
0.625,0
0.066666667,0
0.541666667,0
0.383333333,0
0.466666667,0
0.2,0
0.3375,0
0.8125,0
0.966666667,0
0.5375,0
0.9625,0
0.708333333,0
0.558333333,0
0.158333333,0
0.7125,0
0.316666667,0
0.441666667,0
0.0125,0
0.2625,0
0.1125,0
0.666666667,0
0.483333333,0
0.508333333,0
0.633333333,0
0.608333333,0
0.725,0
0.758333333,0
0.341666667,0
0.183333333,0
0.14,0
0.866666667,0
0.258333333,0
0.833333333,0
0.816666667,0
0.916666667,0
0.458333333,0
0.658333333,0
0.68,0
0.858333333,0
0.591666667,0
0.291666667,0
