id,CI
24829068,0.9341054175293309
689876153,0.7645
185077913,0.5720041322314049
452182940,0.6574494949494949
"[456381826, 90612303]",0.2607142857142857
"[156672771, 621104166, 621104167]",0.5502976190476191
820384752,0.4811274509803921
156917890,0.5937943262411348
749978930,0.8580165692007797
"[152443681, 152443663, 152443670, 156078873, 152443675]",0.5639550264550265
"[746408857, 684501843, 546871317, 746408855]",0.5512667304015296
156985385,0.8542721518987343
481557587,0.7912162162162161
185077902,0.6403846153846153
"[857014960, 830066287]",0.2654761904761905
"[121040704, 840107555, 121039479, 722139675, 121040700]",0.4953293010752688
"[57380043, 57379654, 57380047]",0.4199999999999999
"[630496720, 630496721, 752120659]",0.4395833333333333
95084760,0.2265432098765431
"[28493600, 28493633, 28493634, 28493795, 59399267, 28493798, 28493609, 150574571, 456921132, 28493616, 28493683, 28493781, 54520728, 54520729, 28492986]",0.7440236991241628
"[140486616, 199487469, 199487486]",0.3875
"[207441217, 207441218, 877461367, 877461369, 207441214]",0.700625
"[183835339, 684537948, 797870373]",0.6889044943820225
"[230331268, 876419241, 340979794, 230331276]",0.6101049868766403
"[443159456, 443159429, 443159433, 364700043, 443159442]",0.7043269230769229
"[73653976, 24446428, 96660640, 96660639]",0.641844512195122
"[82096960, 33082257, 159520339, 876502219]",0.4318661971830985
98608717,0.5501712328767122
"[557975104, 722562854, 152993902, 156708527, 660430960, 848720664, 848720665, 385434781]",0.5189984709480122
"[156763616, 156763612, 156672759]",0.6352713178294574
"[753169752, 380617698]",0.6171052631578948
"[102968025, 754601205, 754601206]",0.5699679943100996
"[374084832, 624300449, 783979138, 753924423, 753924424, 630810731, 630810732]",0.5670664206642065
82246854,0.4266493055555556
836466758,0.6395833333333334
"[627935632, 627942613, 629393511]",0.5557971014492754
116587030,0.7030208333333334
153751438,0.7338815789473683
"[644306690, 833123830, 833123831]",0.6078703703703704
"[154400184, 746408889, 746408891]",0.5879878048780488
25978875,0.2942028985507246
"[749981040, 693449409, 751471422]",0.7077690972222221
"[99346570, 554785547, 554785548]",0.4666666666666667
"[708687692, 32024596, 708687695]",0.8564102564102564
116576361,0.5298387096774194
"[359412106, 359412111, 359412113, 359412116, 359412117]",0.4444715447154472
688567014,0.7188131313131313
"[28492165, 28492166, 28494279, 28494280, 28492147, 28492149, 28492117, 28492118, 28494232, 28492154, 28492159]",0.44
"[156763636, 668245069, 156763607]",0.5222222222222223
140834361,0.5572815533980583
626124225,0.3714285714285714
154400179,0.7723060344827586
"[623248931, 695566438, 622548750, 622548751, 380662716, 380662719]",0.3660714285714285
89413935,0.5537500000000001
"[684512041, 748966174, 748966175]",0.6668413173652694
"[830801763, 830801764, 830801765, 830801766, 830801767, 168554956, 628463564, 628463565, 877774294, 830801751]",0.4295281582952815
